name,phone,fax,email,contact_name,units,address,city,state,zip,listingid,website,application,marketing_phones,yardi_propertyid
Inverness,(205) 366-3637,(205) 366-0637,invernessleasing@bluestone-prop.com,Trenese Crump,208,8816 Old Greensboro Rd.,Tuscaloosa,AL,35405,invernessleasing,http://www.inverness-apts.com/,https://inverness-apts.securecafe.com/onlineleasing/inverness-apartments-2/guestlogin.aspx,,invern
Lakeside at TownCenter,(770) 420-2526,(770) 420-2181,lakesideleasing@bluestone-prop.com,Joanne Harrington,360,425 Williams Dr.,Marietta,GA,30066,lakesideleasing,http://www.lakesideattowncenter-apartments.com/,https://lakesideattowncenter-apartments.securecafe.com/onlineleasing/lakeside-at-town-center-1/guestlogin.aspx,"7708093077, 7702147081, 7702147082, 7702147083",lakeside
Legends at Indian Springs,(502) 412- 6004,,legendsleasing@bluestone-prop.com,Rebecca Foster,212,11000 Indian Legends Dr.,Louisville,KY,40241,legendsleasing,http://www.legends-apartments.com/,https://legends-apartments.securecafe.com/onlineleasing/the-legends-at-indian-springs/guestlogin.aspx,,legends
Maplebrook,(502) 873-3689,(502) 339-4940,maplebrookleasing@bluestone-prop.com,Prena Collins,200,11507 Maplebrook Dr.,Louisville,KY,40241,maplebrookleasing,http://www.maplebrook-apts.com/,https://maplebrook-apts.securecafe.com/onlineleasing/maple-brook-apartments/guestlogin.aspx,5022890557,maplebr
Marble Alley,(865) 544-1193,(865) 525-7516,marbleyalleyleasing@bluestone-prop.com,Amy Richardson,248,300 State Street,Knoxville,TN,37902,marbleyalleyleasing,http://www.marblealley-lofts.com/,https://marblealley-lofts.securecafe.com/onlineleasing/marble-alley-lofts-0/guestlogin.aspx,,marble
Oak Hill Apartments,(518) 283-8400,(518) 283-8300,oakhillleasing@bluestone-prop.com,Amanda Palmer-Sawyer,220,6601 Oak Hill Cir.,Rensselaer,NY,12144,oakhillleasing,http://www.oakhill-apartments.com/,https://oakhill-apartments.securecafe.com/onlineleasing/oak-hill-apartments/guestlogin.aspx,,oakhill
Orchard Hills,(812) 288-0953,(812) 288-2137,orchardleasing@bluestone-prop.com,Josh Martin,373,201 Orchard Hills Dr.,Jeffersonville,IN,47130,orchardleasing,http://www.orchardhills-apartments.com/,https://orchardhills-apartments.securecafe.com/onlineleasing/orchard-hills/guestlogin.aspx,,orchard
Paddock at Eastpoint,(502) 243-8008,,paddockleasing@bluestone-prop.com,Carrie Fenley,500,13516 Skywatch Ln.,Louisville,KY,40245,paddockleasing,http://www.paddock-apartments.com/,https://paddock-apartments.securecafe.com/onlineleasing/the-paddock-at-eastpoint/guestlogin.aspx,,paddock
Prinwood Place,(269) 324-4663,(269) 324-4372,prinwoodleasing@bluestone-prop.com,Meagan Bartee,115,2195 Captiva Island,Portage,MI,49024,prinwoodleasing,http://www.prinwoodplace-apartments.com/,https://prinwoodplace-apartments.securecafe.com/onlineleasing/prinwood-place/guestlogin.aspx,,prinwood
Ranch 123,(830) 433-9323,(830) 433-9328,ranchleasing@bluestone-prop.com,Paula Garcia,180,3063 TX 123,Seguin,TX,78155,ranchleasing,http://www.ranch123-apartments.com/,https://ranch123-apartments.securecafe.com/onlineleasing/ranch-123/guestlogin.aspx,,ranch
Reserve at Maryville,(865) 982-7420,(865) 982-7420,reserveleasing@bluestone-prop.com,Tiffany Sims,192,100 Enterprise Way,Maryville,TN,37801,reserveleasing,http://www.reserveatmaryville.com/,https://reserveatmaryville.securecafe.com/onlineleasing/the-reserve-at-maryville/guestlogin.aspx,,reserve
Reserve at North River,(205) 247-9800,(205) 247-9876,northriverleasing@bluestone-prop.com,Lacrecia Hill,248,1761 North Commons Loop,Tuscaloosa,AL,35406,northriverleasing,http://www.reserveatnorthriver-apartments.com/,https://reserveatnorthriver-apartments.securecafe.com/onlineleasing/reserve-at-north-river-1/guestlogin.aspx,"2052873731, 2052873732, 2052873733 ",northriv
Stonebrook,(903) 509-3031,(903) 509-3119,stonebrookleasing@bluestone-prop.com,Melissa Goodwin,172,5058 Paluxy Dr.,Tyler,TX,75703,stonebrookleasing,https://www.stonebrook-apartments.com/,https://stonebrook-apartments.securecafe.com/onlineleasing/the-stonebrook/guestlogin.aspx,"9034760021, 9034760022, 9034760023",brook
Stoneleigh,(361) 985-1300,(361) 985-1911,stoneleighleasing@bluestone-prop.com,Monica Salazar,348,5750 Curtis Clark Rd.,Corpus Christi,TX,78412,stoneleighleasing,https://www.stoneleigh-apartments.com/,https://stoneleigh-apartments.securecafe.com/onlineleasing/stoneleigh-apartments/guestlogin.aspx,,stone
Summercrest,(817) 295- 7300,,summercrestleasing@bluestone-prop.com,Logan Young,240,1320 NW Summercrest Blvd.,Burleson,TX,76028,summercrestleasing,https://www.summercrest-apartments.com/,https://summercrest-apartments.securecafe.com/onlineleasing/summercrest-apartments/guestlogin.aspx,,summer
Towne West,(281) 496-4000,(281) 496-4009,townewestleasing@bluestone-prop.com,Melissa Floyd,396,14906 Westpark Dr.,Houston,TX,770872,townewestleasing,https://www.townewest-apartments.com/,https://townewest-apartments.securecafe.com/onlineleasing/towne-west-apartments/guestlogin.aspx,"2816126608, 2819187112, 2819187114, 2819187116",summer
Tuscany Villas,(225) 291-0000,(225) 291-0001,tuscanyleasing@bluestone-prop.com,Ivra Amacker,274,10732 South Mall Dr.,Baton Rogue,LA,70809,tuscanyleasing,http://www.tuscany-villas-apartments.com/,https://tuscany-villas-apartments.securecafe.com/onlineleasing/tuscany-villas/guestlogin.aspx,,tuscany
Vantage Point,(615) 792-0050,(615) 792-2788,vantagepointleasing@bluestone-prop.com,James Sanders,200,1164 Vantage Pointe Rd.,Ashland City,TN,37015,vantagepointleasing,https://www.vantagepointe-apartments.com/,https://vantagepointe-apartments.securecafe.com/onlineleasing/vantage-pointe-at-marrowbone-heights/guestlogin.aspx,,vantage
Villas at Cordova,(901) 759-5954,(901) 759-5957,villasleasing@bluestone-prop.com,Kathleen Overton,256,8546 Prestine Loop,Cordova,TN,38018,villasleasing,https://www.villasatcordova.com/,https://villasatcordova.securecafe.com/onlineleasing/the-villas-at-cordova/guestlogin.aspx?utm_nooverride=1&propleadsource_90678=portal&_yTrackUser=MzYyNTgwMjU0IzE1NzU2NzYyMzA%3d-IwCR78IH3og%3d&_yTrackVisit=NjYwMTYwNDAxIzE3MDYxMDU5NTQ%3d-XdKIdRAuXDc%3d&_yTrackReqDT=50311620182407&_ga=2.122291468.626307854.1532449349-1885325263.1532449349,"9014721435, 9014721436, 9014721437",villas
Walden Legacy,(865) 560-3114,,waldenlegacyleasing@bluestone-prop.com,Tami Carithers,236,1261 Walden Legacy Way,Knoxville,TN,37931,waldenlegacyleasing,https://www.waldenlegacyapts.com/,https://waldenlegacyapts.securecafe.com/onlineleasing/walden-legacy-apartments/guestlogin.aspx,8654322359,walden
Walnut Ridge,(512) 581-0009,(512) 332-0615,walnutleasing@bluestone-prop.com,Jennifer Crabtree,200,1900 Walnut St.,Bastrop,TX,78602,walnutleasing,http://www.walnutridge-apartments.com/,https://walnutridge-apartments.securecafe.com/onlineleasing/walnut-ridge-0/guestlogin.aspx,,walnut
Woodland Lakes,(517) 393-4599,(517) 393-4470,woodlandleasing@bluestone-prop.com,Dawn Wirt,344,4320 Dell Road,Lansing,MI,48911,woodlandleasing,http://www.woodlandlakes-apartments.com/,https://woodlandlakes-apartments.securecafe.com/onlineleasing/woodland-lakes-apartments/guestlogin.aspx,5172011759,woodland
Peyton Stakes,(629) 800-2075,,peytonstakesleasing@bluestone-prop.com,,,1401 3rd Ave N,Nashville,TN,37208,peytonstakesleasing,https://www.peytonstakes.com/,https://bluestoneproperties-reslisting.securecafe.com/onlineleasing/peyton-stakes/register.aspx,6292053038,peyton
Overlook at Valley Ridge,(317) 780-6837,,overlookleasing@bluestone-prop.com,,,6810 Valley Ridge Drive,Indianapolis,IN,46237,overlookleasing,https://www.overlookindy.com/,https://overlookindy.securecafe.com/onlineleasing/overlook-at-valley-ridge/register.aspx,3177437760,overlook
Summerwood,(317) 876-9930,,summerwoodleasing@bluestone-prop.com,,,2520 Summer Drive,Indianapolis,IN,46268,summerwoodleasing,https://www.summerwoodindy.com/,https://summerwoodindy.securecafe.com/onlineleasing/summerwood-on-towne-line/register.aspx,3177437761,summwood
